timestamp,temperatura,umidade_solo,ph_solo,cultura,irrigacao_ativa
2026-06-01 06:00:00,22.4,48.5,6.5,milho,false
2026-06-01 08:00:00,25.8,44.1,6.4,milho,false
2026-06-01 10:00:00,29.3,38.7,6.3,milho,false
2026-06-01 12:00:00,32.1,30.4,6.1,milho,false
2026-06-01 14:00:00,34.6,23.9,5.9,milho,true
2026-06-01 16:00:00,33.2,26.7,6.0,milho,false
2026-06-01 18:00:00,28.9,33.5,6.2,milho,false
2026-06-01 20:00:00,24.1,40.2,6.4,milho,false
2026-06-02 06:00:00,21.7,46.9,6.6,milho,false
2026-06-02 08:00:00,26.5,41.3,6.5,milho,false
2026-06-02 10:00:00,30.8,33.1,6.2,milho,false
2026-06-02 12:00:00,33.9,25.6,5.8,milho,false
2026-06-02 14:00:00,35.7,19.4,5.6,milho,true
2026-06-02 16:00:00,34.2,22.8,5.7,milho,false
2026-06-02 18:00:00,30.1,29.5,6.0,milho,false
2026-06-02 20:00:00,25.3,37.8,6.3,milho,false
2026-06-03 06:00:00,23.0,45.1,6.5,milho,false
2026-06-03 08:00:00,27.4,39.6,6.4,milho,false
2026-06-03 10:00:00,31.6,31.2,6.1,milho,false
2026-06-03 12:00:00,34.8,24.0,5.7,milho,false
2026-06-03 14:00:00,37.1,17.3,5.4,milho,false
2026-06-03 15:00:00,38.2,15.1,5.2,milho,false
